文件名,完整路径,大小(字节),大小(可读),修改时间,是否目录,MD5哈希值,SHA256哈希值,扩展名,MIME类型
AbstractCheckable.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\AbstractCheckable.qmlc,8988,8.78 B,2022-01-06 07:52:04,false,f0ab28fbc2e228e13ff25dfedbdc5faf,a35a90da30d0bd857e4e74a3a3300f362a666e6bc9d0d6eecfa0f4d148bc4843,qmlc,
BasicButton.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\BasicButton.qml,8298,8.10 B,2020-10-27 08:02:10,false,884a006add8ab89428f89d6393a691fa,1651bc9c0bcc321bfc1462d4de6a51007dc933b159980646656e74b33ce239d7,qml,
BasicButton.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\BasicButton.qmlc,14344,14.01 B,2022-01-06 07:52:08,false,38d46b01740bac15b7b5f46af8987caf,bbd5372a2801bab2c560e873ebcac02daa9af744ab8cb6791a31e5d2995ec113,qmlc,
BasicTableView.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\BasicTableView.qml,33191,32.41 B,2020-10-27 08:02:10,false,2a6ff6d69c3c8aebac0577ec495914ab,d1c6f040cddc78498d5fc7e2ee3b2a8ae94f1772f04af77e2349f60baf189329,qml,
CalendarHeaderModel.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\CalendarHeaderModel.qml,3841,3.75 B,2020-10-27 08:02:10,false,e93df9572c77f934688cb8b498820dd8,f4ea2c35462f76b142231dc83b536b1f93f030379be115baa131934cab4d8021,qml,
CalendarHeaderModel.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\CalendarHeaderModel.qmlc,4668,4.56 B,2022-01-06 07:52:10,false,b10dd1b20b46092578304a173a338430,bd8877e152d84c422e10f416e19b60afd20e850b3b674dd39d7a2e16b2c56947,qmlc,
BasicTableView.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\BasicTableView.qmlc,49500,48.34 B,2022-01-06 07:52:28,false,fdc92c3716a0b4b86461a380b62a5e3d,27ee3efd7dd2ac073be7785b426b9c936b7c743e20068e9c5b63f0326f7adcb4,qmlc,
CalendarUtils.js,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\CalendarUtils.js,5714,5.58 B,2020-10-27 08:02:10,false,8ef9d96911e8b0ae9e2562662a516405,71e7b220af9b62b2ebcaee5b93d435c5a33bc6848cf29f785bce082858c100ab,js,text/javascript; charset=utf-8
CalendarUtils.jsc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\CalendarUtils.jsc,3384,3.30 B,2022-01-06 07:52:10,false,7779f9163c9560213bb3fef51d9fd588,07258dfa26a711c73b8660a3548e6db67099de50d63f5778ac2cafcd31bad5df,jsc,
ColumnMenuContent.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\ColumnMenuContent.qml,9417,9.20 B,2020-10-27 08:02:10,false,7c237bff401c547dc20defd84cd178b8,975bbc80da2f1bd057f0febc8f4f2f4cba730875f24f1dd1ab19ab9c1424144c,qml,
